2018-03-21 23:01:37.960161: step 0, duration = 0.051
2018-03-21 23:01:37.960233: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:01:39.725353: step 0, duration = 0.051
2018-03-21 23:01:39.725452: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:01:41.397802: step 0, duration = 0.051
2018-03-21 23:01:41.397942: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:01:43.172819: step 0, duration = 0.051
2018-03-21 23:01:43.172890: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:01:44.908753: step 0, duration = 0.051
2018-03-21 23:01:44.908827: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:01:46.633209: step 0, duration = 0.050
2018-03-21 23:01:46.633359: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:01:48.330213: step 0, duration = 0.051
2018-03-21 23:01:48.330335: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:01:50.041350: step 0, duration = 0.052
2018-03-21 23:01:50.041502: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:01:51.761706: step 0, duration = 0.051
2018-03-21 23:01:51.761784: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:01:53.596666: step 0, duration = 0.052
2018-03-21 23:01:53.596818: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:01:55.356263: step 0, duration = 0.053
2018-03-21 23:01:55.356341: Forward-backward across 1 steps, 0.053 +/- 0.000 sec / batch
2018-03-21 23:01:57.134095: step 0, duration = 0.051
2018-03-21 23:01:57.134169: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:01:58.800722: step 0, duration = 0.051
2018-03-21 23:01:58.800798: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:02:00.554610: step 0, duration = 0.055
2018-03-21 23:02:00.554681: Forward-backward across 1 steps, 0.055 +/- 0.000 sec / batch
2018-03-21 23:02:02.286197: step 0, duration = 0.052
2018-03-21 23:02:02.286276: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:02:03.976400: step 0, duration = 0.051
2018-03-21 23:02:03.976478: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:02:05.685738: step 0, duration = 0.056
2018-03-21 23:02:05.685818: Forward-backward across 1 steps, 0.056 +/- 0.000 sec / batch
2018-03-21 23:02:07.449954: step 0, duration = 0.050
2018-03-21 23:02:07.450025: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:02:09.223689: step 0, duration = 0.051
2018-03-21 23:02:09.223758: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:02:11.005537: step 0, duration = 0.051
2018-03-21 23:02:11.005612: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:02:12.655026: step 0, duration = 0.038
2018-03-21 23:02:12.655143: Forward-backward across 1 steps, 0.038 +/- 0.000 sec / batch
2018-03-21 23:02:14.289570: step 0, duration = 0.050
2018-03-21 23:02:14.289707: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:02:16.097891: step 0, duration = 0.050
2018-03-21 23:02:16.097962: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:02:17.808825: step 0, duration = 0.051
2018-03-21 23:02:17.808988: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:02:19.626138: step 0, duration = 0.053
2018-03-21 23:02:19.626213: Forward-backward across 1 steps, 0.053 +/- 0.000 sec / batch
2018-03-21 23:02:21.337770: step 0, duration = 0.051
2018-03-21 23:02:21.337902: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:02:22.956393: step 0, duration = 0.051
2018-03-21 23:02:22.956466: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:02:24.833312: step 0, duration = 0.052
2018-03-21 23:02:24.833473: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
